,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,RiskPerformance,CfExternalRiskEstimate,CfMSinceOldestTradeOpen,CfMSinceMostRecentTradeOpen,CfAverageMInFile,CfNumSatisfactoryTrades,CfNumTrades60Ever2DerogPubRec,CfNumTrades90Ever2DerogPubRec,CfPercentTradesNeverDelq,CfMSinceMostRecentDelq,CfMaxDelq2PublicRecLast12M,CfMaxDelqEver,CfNumTotalTrades,CfNumTradesOpeninLast12M,CfPercentInstallTrades,CfMSinceMostRecentInqexcl7days,CfNumInqLast6M,CfNumInqLast6Mexcl7days,CfNetFractionRevolvingBurden,CfNetFractionInstallBurden,CfNumRevolvingTradesWBalance,CfNumInstallTradesWBalance,CfNumBank2NatlTradesWHighUtilization,CfPercentTradesWBalance,GoalScore,GoalValue,GoalName,method,model
6415,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,71.0,109.0,16.0,48.0,26.0,0.0,0.0,100.0,-7.0,7.0,8.0,27.0,0.0,26.0,0.0,3.0,3.0,26.0,64.0,4.0,2.0,1.0,38.0,0.5194645524024963,1,RiskPerformance,DiCE-kdtree,XGBoost
936,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,82.0,178.0,9.0,58.0,16.0,0.0,0.0,100.0,-7.0,7.0,8.0,17.0,1.0,24.0,2.0,2.0,2.0,23.0,87.0,2.0,2.0,1.0,67.0,0.791496992111206,1,RiskPerformance,DiCE-kdtree,XGBoost
9174,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,81.0,171.0,4.0,34.0,15.0,0.0,0.0,100.0,-7.0,7.0,8.0,16.0,4.0,19.0,0.0,1.0,1.0,5.0,76.0,5.0,2.0,0.0,64.0,0.658079206943512,1,RiskPerformance,DiCE-kdtree,XGBoost
8427,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,77.0,110.0,17.0,48.0,17.0,0.0,0.0,100.0,-7.0,7.0,8.0,18.0,0.0,39.0,0.0,2.0,2.0,22.0,67.0,4.0,3.0,0.0,64.0,0.5318278074264526,1,RiskPerformance,DiCE-kdtree,XGBoost
3388,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,83.0,161.0,10.0,66.0,15.0,0.0,0.0,100.0,-7.0,7.0,8.0,15.0,3.0,13.0,0.0,0.0,0.0,37.0,56.0,3.0,2.0,0.0,45.0,0.7679980993270874,1,RiskPerformance,DiCE-kdtree,XGBoost
4576,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,78.0,108.0,2.0,43.0,17.0,0.0,0.0,100.0,-7.0,7.0,8.0,18.0,4.0,39.0,-7.0,2.0,2.0,15.0,50.0,4.0,3.0,1.0,78.0,0.5388190150260925,1,RiskPerformance,DiCE-kdtree,XGBoost
6972,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,73.0,139.0,6.0,43.0,14.0,0.0,0.0,100.0,-7.0,7.0,8.0,14.0,3.0,36.0,1.0,2.0,2.0,8.0,86.0,3.0,2.0,1.0,71.0,0.5642810463905334,1,RiskPerformance,DiCE-kdtree,XGBoost
1738,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,77.0,127.0,6.0,54.0,27.0,0.0,0.0,100.0,-7.0,7.0,8.0,27.0,1.0,41.0,0.0,0.0,0.0,33.0,34.0,4.0,8.0,1.0,63.0,0.6742007732391357,1,RiskPerformance,DiCE-kdtree,XGBoost
9818,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,73.0,121.0,9.0,64.0,33.0,0.0,0.0,100.0,-7.0,6.0,8.0,34.0,4.0,35.0,0.0,2.0,2.0,35.0,64.0,10.0,2.0,1.0,92.0,0.5010862946510315,1,RiskPerformance,DiCE-kdtree,XGBoost
5209,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,76.0,138.0,15.0,70.0,16.0,0.0,0.0,100.0,-7.0,7.0,8.0,17.0,0.0,29.0,0.0,1.0,1.0,49.0,72.0,3.0,2.0,2.0,71.0,0.6087765693664551,1,RiskPerformance,DiCE-kdtree,XGBoost
6468,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,79.0,144.0,13.0,55.0,22.0,0.0,0.0,100.0,-7.0,7.0,8.0,22.0,0.0,41.0,0.0,0.0,0.0,42.0,56.0,2.0,4.0,0.0,60.0,0.6856978535652161,1,RiskPerformance,DiCE-kdtree,XGBoost
3390,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,83.0,108.0,14.0,57.0,15.0,0.0,0.0,100.0,-7.0,7.0,8.0,15.0,0.0,27.0,0.0,2.0,2.0,6.0,54.0,3.0,2.0,0.0,56.0,0.6816994547843933,1,RiskPerformance,DiCE-kdtree,XGBoost
749,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,81.0,120.0,13.0,42.0,12.0,0.0,0.0,100.0,-7.0,7.0,8.0,12.0,0.0,25.0,3.0,2.0,2.0,34.0,36.0,1.0,1.0,0.0,67.0,0.7071945667266846,1,RiskPerformance,DiCE-kdtree,XGBoost
10272,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,80.0,126.0,8.0,52.0,18.0,0.0,0.0,100.0,-7.0,7.0,8.0,19.0,4.0,16.0,0.0,1.0,1.0,2.0,74.0,2.0,2.0,0.0,67.0,0.7006576061248779,1,RiskPerformance,DiCE-kdtree,XGBoost
3285,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,72.0,150.0,7.0,57.0,36.0,0.0,0.0,100.0,-7.0,7.0,8.0,40.0,7.0,8.0,1.0,3.0,3.0,30.0,56.0,8.0,2.0,3.0,56.0,0.5509097576141357,1,RiskPerformance,DiCE-kdtree,XGBoost
7350,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,77.0,143.0,10.0,52.0,12.0,0.0,0.0,100.0,-7.0,7.0,8.0,12.0,1.0,33.0,0.0,2.0,0.0,12.0,92.0,2.0,2.0,1.0,67.0,0.566644012928009,1,RiskPerformance,DiCE-kdtree,XGBoost
7154,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,85.0,151.0,5.0,64.0,20.0,0.0,0.0,100.0,-7.0,7.0,8.0,20.0,2.0,35.0,0.0,0.0,0.0,4.0,56.0,4.0,2.0,0.0,67.0,0.8238638639450073,1,RiskPerformance,DiCE-kdtree,XGBoost
5630,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,80.0,163.0,9.0,76.0,16.0,0.0,0.0,100.0,-7.0,7.0,8.0,16.0,1.0,38.0,0.0,0.0,0.0,14.0,72.0,3.0,3.0,1.0,75.0,0.7552196383476257,1,RiskPerformance,DiCE-kdtree,XGBoost
4727,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,77.0,154.0,1.0,47.0,22.0,0.0,0.0,100.0,-7.0,7.0,8.0,24.0,2.0,30.0,18.0,0.0,0.0,12.0,36.0,2.0,2.0,1.0,71.0,0.7606960535049438,1,RiskPerformance,DiCE-kdtree,XGBoost
9939,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,82.0,132.0,5.0,55.0,18.0,0.0,0.0,100.0,-7.0,7.0,8.0,19.0,2.0,47.0,0.0,0.0,0.0,21.0,55.0,1.0,4.0,-8.0,63.0,0.579027533531189,1,RiskPerformance,DiCE-kdtree,XGBoost
3033,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,75.0,161.0,2.0,67.0,26.0,0.0,0.0,100.0,-7.0,7.0,8.0,28.0,2.0,33.0,0.0,1.0,1.0,40.0,75.0,4.0,3.0,1.0,58.0,0.6153496503829956,1,RiskPerformance,DiCE-kdtree,XGBoost
6234,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,76.0,158.0,2.0,65.0,18.0,0.0,0.0,100.0,-7.0,7.0,8.0,19.0,2.0,26.0,1.0,1.0,1.0,28.0,67.0,3.0,3.0,1.0,67.0,0.7674911618232727,1,RiskPerformance,DiCE-kdtree,XGBoost
7255,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,81.0,159.0,3.0,48.0,22.0,0.0,0.0,100.0,-7.0,7.0,8.0,22.0,4.0,32.0,0.0,2.0,1.0,26.0,85.0,5.0,3.0,2.0,69.0,0.624318540096283,1,RiskPerformance,DiCE-kdtree,XGBoost
732,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,75.0,127.0,5.0,30.0,17.0,0.0,0.0,100.0,-7.0,7.0,8.0,17.0,4.0,24.0,1.0,3.0,3.0,14.0,56.0,4.0,1.0,1.0,86.0,0.5617606043815613,1,RiskPerformance,DiCE-kdtree,XGBoost
4873,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,74.0,123.0,1.0,52.0,23.0,0.0,0.0,100.0,-7.0,7.0,8.0,24.0,3.0,33.0,5.0,0.0,0.0,38.0,43.0,4.0,5.0,1.0,75.0,0.6550217270851135,1,RiskPerformance,DiCE-kdtree,XGBoost
10134,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,73.0,134.0,11.0,54.0,23.0,0.0,0.0,100.0,-7.0,7.0,8.0,24.0,1.0,46.0,2.0,1.0,1.0,47.0,58.0,4.0,4.0,1.0,67.0,0.6892269253730774,1,RiskPerformance,DiCE-kdtree,XGBoost
2194,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,83.0,122.0,0.0,61.0,24.0,0.0,0.0,100.0,-7.0,7.0,8.0,27.0,2.0,26.0,0.0,2.0,2.0,2.0,76.0,2.0,2.0,0.0,50.0,0.7395365238189697,1,RiskPerformance,DiCE-kdtree,XGBoost
6183,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,83.0,146.0,9.0,82.0,26.0,0.0,0.0,100.0,-7.0,7.0,8.0,26.0,1.0,19.0,20.0,0.0,0.0,21.0,70.0,4.0,2.0,0.0,58.0,0.8998672962188721,1,RiskPerformance,DiCE-kdtree,XGBoost
8040,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,82.0,129.0,14.0,65.0,19.0,0.0,0.0,100.0,-7.0,7.0,8.0,20.0,0.0,30.0,1.0,2.0,2.0,12.0,80.0,2.0,2.0,0.0,67.0,0.7926933169364929,1,RiskPerformance,DiCE-kdtree,XGBoost
5063,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,80.0,125.0,4.0,55.0,26.0,0.0,0.0,100.0,-7.0,7.0,8.0,26.0,3.0,23.0,0.0,0.0,0.0,4.0,31.0,4.0,2.0,0.0,58.0,0.7323671579360962,1,RiskPerformance,DiCE-kdtree,XGBoost
10060,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,81.0,136.0,24.0,63.0,19.0,0.0,0.0,100.0,-7.0,7.0,8.0,19.0,0.0,21.0,-7.0,0.0,0.0,42.0,39.0,1.0,2.0,0.0,60.0,0.7261703014373779,1,RiskPerformance,DiCE-kdtree,XGBoost
3961,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,83.0,177.0,1.0,60.0,18.0,0.0,0.0,100.0,-7.0,7.0,8.0,25.0,4.0,37.0,0.0,2.0,2.0,6.0,74.0,3.0,3.0,1.0,64.0,0.7011488676071167,1,RiskPerformance,DiCE-kdtree,XGBoost
4199,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,81.0,154.0,3.0,65.0,21.0,0.0,0.0,100.0,-7.0,7.0,8.0,21.0,2.0,29.0,0.0,0.0,0.0,20.0,81.0,4.0,3.0,0.0,50.0,0.7697396874427795,1,RiskPerformance,DiCE-kdtree,XGBoost
8173,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,77.0,115.0,2.0,51.0,30.0,0.0,0.0,100.0,-7.0,7.0,8.0,31.0,3.0,26.0,0.0,0.0,0.0,23.0,42.0,7.0,2.0,0.0,64.0,0.6304739713668823,1,RiskPerformance,DiCE-kdtree,XGBoost
2401,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,77.0,127.0,2.0,62.0,11.0,0.0,0.0,100.0,-7.0,7.0,8.0,10.0,1.0,25.0,-7.0,3.0,3.0,28.0,43.0,3.0,2.0,1.0,83.0,0.5621055960655212,1,RiskPerformance,DiCE-kdtree,XGBoost
6769,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,80.0,153.0,2.0,57.0,24.0,0.0,0.0,100.0,-7.0,7.0,8.0,27.0,4.0,50.0,3.0,3.0,2.0,21.0,65.0,3.0,2.0,0.0,75.0,0.7897939085960388,1,RiskPerformance,DiCE-kdtree,XGBoost
10446,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,75.0,171.0,2.0,68.0,20.0,0.0,0.0,100.0,-7.0,7.0,8.0,21.0,1.0,33.0,0.0,1.0,1.0,21.0,69.0,3.0,2.0,1.0,71.0,0.6982799172401428,1,RiskPerformance,DiCE-kdtree,XGBoost
7634,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,86.0,153.0,5.0,70.0,13.0,0.0,0.0,100.0,-7.0,7.0,8.0,14.0,1.0,29.0,-7.0,1.0,1.0,18.0,60.0,2.0,2.0,0.0,50.0,0.8280704617500305,1,RiskPerformance,DiCE-kdtree,XGBoost
5012,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,84.0,145.0,3.0,54.0,15.0,0.0,0.0,100.0,-7.0,7.0,8.0,15.0,1.0,27.0,6.0,0.0,0.0,13.0,60.0,1.0,3.0,0.0,40.0,0.8455114364624023,1,RiskPerformance,DiCE-kdtree,XGBoost
4180,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,78.0,141.0,6.0,63.0,22.0,0.0,0.0,100.0,-7.0,7.0,8.0,22.0,1.0,45.0,0.0,0.0,0.0,46.0,38.0,2.0,3.0,1.0,63.0,0.6814475059509277,1,RiskPerformance,DiCE-kdtree,XGBoost
7792,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,75.0,129.0,11.0,57.0,23.0,0.0,0.0,100.0,-7.0,7.0,8.0,24.0,1.0,38.0,12.0,1.0,0.0,32.0,71.0,4.0,4.0,0.0,67.0,0.7869627475738525,1,RiskPerformance,DiCE-kdtree,XGBoost
3256,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,82.0,169.0,9.0,64.0,27.0,0.0,0.0,100.0,-7.0,7.0,8.0,19.0,1.0,15.0,11.0,0.0,0.0,17.0,56.0,4.0,2.0,0.0,30.0,0.8866184949874878,1,RiskPerformance,DiCE-kdtree,XGBoost
7149,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,85.0,149.0,8.0,63.0,15.0,0.0,0.0,100.0,-7.0,7.0,8.0,15.0,1.0,40.0,0.0,2.0,2.0,5.0,32.0,1.0,3.0,0.0,44.0,0.7974824905395508,1,RiskPerformance,DiCE-kdtree,XGBoost
1475,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,76.0,98.0,11.0,50.0,15.0,0.0,0.0,100.0,-7.0,7.0,8.0,15.0,2.0,27.0,0.0,0.0,0.0,42.0,60.0,2.0,2.0,1.0,63.0,0.5417529344558716,1,RiskPerformance,DiCE-kdtree,XGBoost
9826,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,76.0,97.0,9.0,44.0,14.0,0.0,0.0,100.0,-7.0,7.0,8.0,14.0,2.0,21.0,0.0,1.0,1.0,32.0,43.0,3.0,2.0,0.0,63.0,0.5279477834701538,1,RiskPerformance,DiCE-kdtree,XGBoost
1528,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,77.0,141.0,3.0,77.0,29.0,0.0,0.0,100.0,-7.0,7.0,8.0,31.0,3.0,42.0,0.0,0.0,0.0,33.0,85.0,4.0,2.0,2.0,55.0,0.7321584820747375,1,RiskPerformance,DiCE-kdtree,XGBoost
7168,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,77.0,183.0,13.0,77.0,16.0,0.0,0.0,100.0,-7.0,7.0,8.0,16.0,0.0,19.0,0.0,2.0,2.0,37.0,84.0,1.0,1.0,0.0,33.0,0.6697371602058411,1,RiskPerformance,DiCE-kdtree,XGBoost
5291,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,78.0,111.0,1.0,58.0,19.0,0.0,0.0,100.0,-7.0,7.0,8.0,22.0,3.0,32.0,0.0,3.0,3.0,11.0,29.0,4.0,2.0,1.0,75.0,0.5934823155403137,1,RiskPerformance,DiCE-kdtree,XGBoost
1716,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,77.0,154.0,2.0,71.0,27.0,0.0,0.0,100.0,-7.0,7.0,8.0,28.0,2.0,29.0,0.0,0.0,0.0,39.0,66.0,5.0,3.0,0.0,62.0,0.6953234672546387,1,RiskPerformance,DiCE-kdtree,XGBoost
721,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,86.0,160.0,14.0,82.0,15.0,0.0,0.0,100.0,-7.0,7.0,8.0,15.0,0.0,20.0,0.0,1.0,1.0,31.0,56.0,2.0,2.0,0.0,50.0,0.8541622757911682,1,RiskPerformance,DiCE-kdtree,XGBoost
8618,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,75.0,169.0,7.0,45.0,27.0,0.0,0.0,100.0,-7.0,7.0,8.0,29.0,1.0,21.0,15.0,0.0,0.0,36.0,43.0,6.0,3.0,1.0,53.0,0.7341545224189758,1,RiskPerformance,DiCE-kdtree,XGBoost
6721,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,85.0,141.0,12.0,71.0,14.0,0.0,0.0,100.0,-7.0,7.0,8.0,16.0,0.0,21.0,-7.0,0.0,0.0,1.0,47.0,2.0,2.0,0.0,44.0,0.8329083323478699,1,RiskPerformance,DiCE-kdtree,XGBoost
3035,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,75.0,121.0,3.0,52.0,21.0,0.0,0.0,100.0,-7.0,7.0,8.0,8.0,4.0,19.0,22.0,0.0,0.0,34.0,85.0,5.0,4.0,1.0,75.0,0.7003418803215027,1,RiskPerformance,DiCE-kdtree,XGBoost
1789,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,74.0,199.0,1.0,47.0,31.0,0.0,0.0,100.0,-7.0,7.0,8.0,33.0,5.0,27.0,0.0,2.0,2.0,17.0,66.0,4.0,3.0,1.0,54.0,0.5242303609848022,1,RiskPerformance,DiCE-kdtree,XGBoost
7320,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,78.0,169.0,17.0,71.0,34.0,0.0,0.0,100.0,-7.0,7.0,8.0,34.0,0.0,35.0,0.0,0.0,0.0,34.0,48.0,2.0,4.0,1.0,55.0,0.8023887276649475,1,RiskPerformance,DiCE-kdtree,XGBoost
5156,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,71.0,143.0,12.0,65.0,19.0,2.0,2.0,100.0,-7.0,7.0,8.0,19.0,0.0,21.0,-7.0,0.0,0.0,22.0,37.0,2.0,2.0,0.0,50.0,0.6266171932220459,1,RiskPerformance,DiCE-kdtree,XGBoost
10349,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,82.0,139.0,10.0,87.0,21.0,0.0,0.0,100.0,-7.0,7.0,8.0,22.0,2.0,27.0,1.0,2.0,2.0,12.0,42.0,1.0,2.0,0.0,44.0,0.846564769744873,1,RiskPerformance,DiCE-kdtree,XGBoost
10204,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,83.0,139.0,22.0,72.0,18.0,0.0,0.0,100.0,-7.0,7.0,8.0,16.0,0.0,22.0,-8.0,0.0,0.0,20.0,82.0,1.0,2.0,0.0,43.0,0.9137226343154907,1,RiskPerformance,DiCE-kdtree,XGBoost
7380,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,76.0,149.0,15.0,62.0,13.0,0.0,0.0,100.0,-7.0,7.0,8.0,13.0,0.0,38.0,0.0,0.0,0.0,0.0,55.0,0.0,3.0,0.0,75.0,0.5983914732933044,1,RiskPerformance,DiCE-kdtree,XGBoost
